row,column,value
0,0,-3.38275
0,1,-3.38275
0,2,-3.3824
0,3,-3.3919
0,4,-3.41053
0,5,-3.43802
0,6,-3.47341
0,7,-3.51554
0,8,-3.5632
0,9,-3.6152
0,10,-3.67044
0,11,-3.7279
0,12,-3.78664
0,13,-3.84582
0,14,-3.90468
0,15,-3.96253
0,16,-4.01877
0,17,-4.07286
0,18,-4.1243
0,19,-4.17268
0,20,-4.2176
0,21,-4.25874
0,22,-4.2958
0,23,-4.32853
0,24,-4.3567
0,25,-4.38015
0,26,-4.39869
0,27,-4.41221
0,28,-4.4206
0,29,-4.42378
0,30,-4.42169
0,31,-4.41429
0,32,-4.40155
0,33,-4.38347
0,34,-4.36007
0,35,-4.33137
0,36,-4.29741
0,37,-4.25825
0,38,-4.21395
0,39,-4.16459
0,40,-4.11025
0,41,-4.05105
0,42,-3.98708
0,43,-3.91847
0,44,-3.84534
0,45,-3.76784
0,46,-3.6861
0,47,-3.60028
0,48,-3.51053
0,49,-3.41704
0,50,-3.31997
0,51,-3.2195
0,52,-3.11582
0,53,-3.00913
0,54,-2.89963
0,55,-2.78752
0,56,-2.67303
0,57,-2.55636
0,58,-2.43775
0,59,-2.31741
0,60,-2.19559
0,61,-2.07253
0,62,-1.94846
0,63,-1.82363
0,64,-1.69829
0,65,-1.5727
0,66,-1.44711
0,67,-1.32178
0,68,-1.19698
0,69,-1.07295
0,70,-0.949967
0,71,-0.828293
0,72,-0.70819
0,73,-0.589919
0,74,-0.473741
0,75,-0.359916
0,76,-0.248697
0,77,-0.140339
0,78,-0.035088
0,79,0.066812
0,80,0.165124
0,81,0.259617
0,82,0.350069
0,83,0.436265
0,84,0.517998
0,85,0.595075
0,86,0.66731
0,87,0.734531
0,88,0.796578
0,89,0.853307
0,90,0.904587
0,91,0.950302
0,92,0.990355
0,93,1.02467
0,94,1.05317
0,95,1.07583
0,96,1.09263
0,97,1.10356
0,98,1.10865
0,99,1.10795
0,100,1.10153
0,101,1.0895
0,102,1.07197
0,103,1.04912
0,104,1.02112
0,105,0.988196
0,106,0.950603
0,107,0.908627
0,108,0.862596
0,109,0.812874
0,110,0.75987
0,111,0.704035
0,112,0.645869
0,113,0.585924
0,114,0.524804
0,115,0.463173
0,116,0.401758
0,117,0.341352
0,118,0.28282
0,119,0.227098
0,120,0.175194
0,121,0.128178
0,122,0.0871615
0,123,0.053253
0,124,0.027461
0,125,0.0105769
0,126,0.0025907
0,127,0.00405724
0,128,0.00405724
1,0,-3.38275
1,1,-3.38275
1,2,-3.3824
1,3,-3.3919
1,4,-3.41053
1,5,-3.43802
1,6,-3.47341
1,7,-3.51554
1,8,-3.5632
1,9,-3.6152
1,10,-3.67044
1,11,-3.7279
1,12,-3.78664
1,13,-3.84582
1,14,-3.90468
1,15,-3.96253
1,16,-4.01877
1,17,-4.07286
1,18,-4.1243
1,19,-4.17268
1,20,-4.2176
1,21,-4.25874
1,22,-4.2958
1,23,-4.32853
1,24,-4.3567
1,25,-4.38015
1,26,-4.39869
1,27,-4.41221
1,28,-4.4206
1,29,-4.42378
1,30,-4.42169
1,31,-4.41429
1,32,-4.40155
1,33,-4.38347
1,34,-4.36007
1,35,-4.33137
1,36,-4.29741
1,37,-4.25825
1,38,-4.21395
