row,column,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
1,0,0
1,1,1.43775e-05
1,2,2.87694e-05
1,3,3.18436e-05
1,4,1.60801e-05
1,5,-2.23039e-05
1,6,-8.47266e-05
1,7,-0.000171126
1,8,-0.000280522
1,9,-0.000411375
1,10,-0.000561818
1,11,-0.000729807
1,12,-0.000913216
1,13,-0.0011099
1,14,-0.00131775
1,15,-0.00153469
1,16,-0.00175874
1,17,-0.00198797
1,18,-0.00222058
1,19,-0.00245484
1,20,-0.00268911
1,21,-0.00292187
1,22,-0.00315168
1,23,-0.0033772
1,24,-0.00359716
1,25,-0.00381041
1,26,-0.00401585
1,27,-0.00421249
1,28,-0.00439939
1,29,-0.0045757
1,30,-0.00474063
1,31,-0.00489346
1,32,-0.00503354
1,33,-0.00516027
1,34,-0.00527311
1,35,-0.00537159
1,36,-0.00545527
1,37,-0.00552379
1,38,-0.00557683
1,39,-0.00561413
1,40,-0.00563549
1,41,-0.00564075
1,42,-0.00562984
1,43,-0.0056027
1,44,-0.00555938
1,45,-0.00549996
1,46,-0.00542461
1,47,-0.00533355
1,48,-0.0052271
1,49,-0.00510562
1,50,-0.00496958
1,51,-0.00481952
1,52,-0.00465608
1,53,-0.00447997
1,54,-0.00429201
1,55,-0.00409311
1,56,-0.00388427
1,57,-0.00366662
1,58,-0.00344136
1,59,-0.0032098
1,60,-0.00297337
1,61,-0.00273359
1,62,-0.00249208
1,63,-0.00225055
1,64,-0.00201083
1,65,-0.00177482
1,66,-0.00154451
1,67,-0.00132195
1,68,-0.00110927
1,69,-0.000908629
1,70,-0.000722207
1,71,-0.000552179
1,72,-0.000400657
1,73,-0.000269629
1,74,-0.000160863
1,75,-7.57518e-05
1,76,-1.50857e-05
1,77,2.13051e-05
1,78,3.51062e-05
1,79,3.03837e-05
1,80,1.49825e-05
1,81,0
2,0,0
2,1,1.20649e-05
2,2,1.81709e-05
2,3,7.41807e-07
2,4,-5.05762e-05
2,5,-0.000141626
2,6,-0.000274886
2,7,-0.000450541
2,8,-0.000667216
2,9,-0.000922499
2,10,-0.00121332
2,11,-0.00153618
2,12,-0.0018874
2,13,-0.00226315
2,14,-0.00265964
2,15,-0.0030731
2,16,-0.00349986
2,17,-0.0039364
2,18,-0.00437932
2,19,-0.00482538
2,20,-0.00527152
2,21,-0.00571484
2,22,-0.00615262
2,23,-0.00658228
2,24,-0.00700145
2,25,-0.00740788
2,26,-0.0077995
2,27,-0.00817438
2,28,-0.00853073
2,29,-0.0088669
2,30,-0.00918139
2,31,-0.0094728
2,32,-0.00973988
2,33,-0.00998147
2,34,-0.0101965
2,35,-0.0103842
2,36,-0.0105435
2,37,-0.0106739
2,38,-0.0107748
2,39,-0.0108455
2,40,-0.0108859
2,41,-0.0108955
2,42,-0.0108742
2,43,-0.0108219
2,44,-0.0107388
2,45,-0.010625
2,46,-0.0104809
2,47,-0.0103068
2,48,-0.0101035
2,49,-0.00987151
2,50,-0.00961189
2,51,-0.00932565
2,52,-0.009014
2,53,-0.00867833
2,54,-0.00832022
2,55,-0.00794139
2,56,-0.00754379
2,57,-0.00712953
2,58,-0.00670092
2,59,-0.00626046
2,60,-0.00581084
2,61,-0.00535492
2,62,-0.00489578
2,63,-0.00443664
2,64,-0.00398091
2,65,-0.00353214
2,66,-0.00309401
2,67,-0.00267034
2,68,-0.002265
2,69,-0.00188194
2,70,-0.00152507
2,71,-0.00119826
2,72,-0.000905191
2,73,-0.000649242
2,74,-0.000433319
2,75,-0.000259584
2,76,-0.000129091
2,77,-4.12726e-05
2,78,6.78406e-06
2,79,2.13704e-05
2,80,1.33485e-05
2,81,0
3,0,0
3,1,-9.02637e-07
3,2,-1.59381e-05
3,3,-6.83438e-05
3,4,-0.000168318
3,5,-0.000322288
3,6,-0.000533072
3,7,-0.000800901
3,8,-0.00112411
3,9,-0.0014997
3,10,-0.00192376
3,11,-0.00239174
3,12,-0.00289875
3,13,-0.0034397
3,14,-0.00400941
3,15,-0.00460275
3,16,-0.00521466
3,17,-0.00584023
3,18,-0.00647472
3,19,-0.00711358
3,20,-0.0077525
3,21,-0.00838736
3,22,-0.00901429
3,23,-0.00962964
3,24,-0.01023
3,25,-0.0108121
3,26,-0.0113731
3,27,-0.0119101
3,28,-0.0124206
3,29,-0.0129022
3,30,-0.0133528
3,31,-0.0137702
3,32,-0.0141528
3,33,-0.0144988
3,34,-0.0148067
3,35,-0.0150753
3,36,-0.0153033
3,37,-0.0154898
3,38,-0.0156339
3,39,-0.0157348
3,40,-0.015792
3,41,-0.0158052
3,42,-0.0157742
3,43,-0.0156987
3,44,-0.015579
3,45,-0.0154154
3,46,-0.0152083
3,47,-0.0149585
3,48,-0.0146667
3,49,-0.014334
3,50,-0.0139618
3,51,-0.0135516
3,52,-0.0131052
3,53,-0.0126244
3,54,-0.0121117
3,55,-0.0115695
3,56,-0.0110005
3,57,-0.0104078
3,58,-0.00979476
3,59,-0.00916482
3,60,-0.00852185
3,61,-0.00786992
3,62,-0.00721334
3,63,-0.00655669
3,64,-0.00590474
3,65,-0.00526246
3,66,-0.00463499
3,67,-0.0040276
3,68,-0.00344565
3,69,-0.00289453
3,70,-0.00237954
3,71,-0.00190587
3,72,-0.00147838
3,73,-0.00110148
3,74,-0.000778866
3,75,-0.000513226
3,76,-0.000305806
3,77,-0.000155888
3,78,-6.01021e-05
3,79,-1.14491e-05
3,80,9.4816e-07
3,81,0
4,0,0
4,1,-1.98691e-05
4,2,-6.32913e-05
4,3,-0.000159555
4,4,-0.000316706
4,5,-0.00054063
4,6,-0.000833785
4,7,-0.00119609
4,8,-0.0016255
4,9,-0.00211847
4,10,-0.00267042
4,11,-0.003276
4,12,-0.00392936
4,13,-0.00462439
4,14,-0.00535482
4,15,-0.00611437
4,16,-0.00689683
4,17,-0.00769614
4,18,-0.00850638
4,19,-0.00932191
4,20,-0.0101373
4,21,-0.0109474
4,22,-0.0117472
4,23,-0.0125323
4,24,-0.0132982
4,25,-0.0140408
4,26,-0.0147565
4,27,-0.0154415
4,28,-0.0160928
4,29,-0.0167071
4,30,-0.0172818
4,31,-0.0178143
4,32,-0.0183022
4,33,-0.0187434
4,34,-0.019136
4,35,-0.0194783
4,36,-0.0197689
4,37,-0.0200064
4,38,-0.0201897
4,39,-0.0203179
4,40,-0.0203904
4,41,-0.0204066
4,42,-0.0203663
4,43,-0.0202694
4,44,-0.0201161
4,45,-0.0199068
4,46,-0.0196421
4,47,-0.0193228
4,48,-0.0189501
