timestep,l2_norm,infinity_norm
0,4.11611e+07,2.56e+06
1,1.86952e+06,163840
2,1.62208e+06,142868
3,1.42541e+06,125252
4,1.26663e+06,110390
5,1.137e+06,98047.4
6,1.03008e+06,87749.5
7,941001,79092.7
8,866058,71732.8
9,802399,65426.8
10,747823,59980.3
11,700606,55237.6
12,659386,51073.4
13,623091,47386
14,590886,44164.9
15,562124,41289.2
16,536298,38702.5
17,512992,36359.3
18,491857,34250.8
19,472597,32383.2
20,454972,30674.1
21,438760,29848.8
22,423787,29173.9
23,409910,28498.5
24,397014,27853
25,384993,27222.6
26,373758,26591.6
27,363230,25956.7
28,353335,25330.7
29,344012,24734.3
30,335207,24133.8
31,326872,23528.9
32,318970,22933.3
33,311469,22373.5
34,304339,21816.1
35,297559,21262.5
36,291109,20730.2
37,284965,20236.1
38,279109,19751.9
39,273526,19278.1
40,268206,18832.1
41,263136,18421.5
42,258307,18022
43,253707,17633.2
44,249324,17269.7
45,245142,16935.9
46,241152,16609.8
47,237334,16290.3
48,233673,15988.7
49,230153,15711.6
50,226760,15437.7
51,223482,15165.8
52,220307,14903.8
53,217225,14663.4
54,214225,14422.9
55,211301,14288
56,208448,14152.5
57,205660,14012.2
58,202934,13867
59,200268,13735.3
60,197661,13601.9
61,195113,13464
62,192625,13321.9
63,190195,13183.3
64,187826,13053.3
65,185517,12919.9
66,183273,12783
67,181093,12643.1
68,178981,12517.8
69,176934,12391.6
70,174956,12263.1
71,173042,12132.4
72,171192,12008
73,169400,11891.7
74,167662,11773.6
75,165974,11653.9
76,164329,11532.3
77,162724,11425.9
78,161155,11318
79,159621,11208.3
80,158120,11096.8
81,156650,10991.3
82,155212,10892
83,153806,10790.7
84,152434,10687.2
85,151098,10581.7
86,149798,10489.5
87,148537,10395.3
88,147317,10299
89,146138,10200.9
90,144998,10108.4
91,143899,10021.6
92,142836,9933.21
93,141811,9843.35
94,140818,9752.08
95,139856,9673.48
96,138921,9593.94
97,138008,9513.28
98,137115,9431.53
99,136235,9354.59
100,135365,9284.16
101,134502,9212.63
102,133641,9139.9
103,132781,9065.9
104,131921,9001.63
105,131059,8937.8
106,130194,8872.47
107,129328,8805.52
108,128461,8740.08
109,127595,8698.15
110,126732,8655.23
111,125875,8610.26
112,125027,8569.97
113,124193,8531.04
114,123373,8490.02
115,122570,8446.83
116,121788,8401.42
117,121025,8362.94
118,120285,8323.34
119,119566,8281.62
120,118869,8237.77
121,118195,8193.63
122,117543,8155.65
123,116910,8115.77
124,116298,8074.01
125,115704,8030.39
126,115128,7989.69
127,114569,7952.35
128,114026,7913.37
129,113499,7872.78
