timestep,l2_norm,infinity_norm
0,4.11611e+07,2.56e+06
50,226760,15437.7
100,135365,9284.16
150,104690,7160.67
200,90996.2,6034.77
250,85602.7,5617.37
300,84288.3,5424.8
350,85906.7,5388.75
400,88663.3,5417.66
450,89395.9,5455.43
500,85190.9,5094.29
550,76491.7,4075.68
600,66875.6,2817.59
650,61467.7,2397.38
700,60437.7,2840.82
750,59448.6,2851.29
800,56589.7,2634.25
850,52413.7,2391.92
900,47877.5,2148.34
950,43528.1,1898.55
1000,39565.1,1664.24
1050,36041.7,1445.39
1100,32975,1254.8
1150,30348,1127.01
1200,28120.5,1041.96
1250,26226.7,962.776
1300,24602.1,891.098
1350,23193.9,828.04
1400,21970.5,770.029
1450,20909,720.144
1500,19989.7,674.777
1550,19189.5,634.443
1600,18486.2,598.503
1650,17857.3,566.983
1700,17284.6,538.599
1750,16752.7,512.993
1800,16250.9,489.736
1850,15771.4,468.691
1900,15309.6,449.649
1950,14863.1,432.138
2000,14430.8,415.888
2050,14012.4,400.424
2100,13608,385.567
2150,13217.5,371.681
2200,12841.1,358.512
2250,12478.6,345.727
2300,12129.4,333.239
2350,11793.2,321.71
2400,11469.2,310.476
2450,11156.9,299.445
2500,10855.6,289.448
2550,10564.7,279.572
2600,10283.6,270.197
2650,10011.9,261.347
2700,9749.08,252.679
2750,9494.77,244.738
2800,9248.6,236.796
2850,9010.3,229.645
2900,8779.58,222.397
2950,8556.17,215.84
3000,8339.8,209.265
3050,8130.22,203.277
3100,7927.19,197.307
3150,7730.45,191.729
3200,7539.86,186.35
3250,7355.15,181.081
3300,7176.12,176.25
3350,7002.53,171.403
3400,6834.14,166.887
3450,6670.78,162.537
3500,6512.25,158.197
3550,6358.34,154.244
3600,6208.86,150.347
3650,6063.6,146.506
3700,5922.37,142.916
3750,5784.99,139.457
3800,5651.27,136.01
3850,5521.04,132.693
3900,5394.12,129.583
3950,5270.33,126.512
4000,5149.54,123.471
4050,5031.59,120.53
4100,4916.37,117.769
4150,4803.72,115.019
4200,4693.5,112.324
4250,4585.62,109.647
4300,4479.94,107.125
4350,4376.36,104.671
4400,4274.8,102.232
4450,4175.15,99.8308
4500,4077.36,97.4583
4550,3981.35,95.1684
4600,3887.06,92.9664
4650,3794.42,90.787
4700,3703.36,88.6241
4750,3613.86,86.4937
4800,3525.91,84.3926
4850,3439.45,82.356
4900,3354.45,80.3795
4950,3270.9,78.4373
5000,3188.78,76.5125
5050,3108.1,74.6068
5100,3028.85,72.7317
5150,2951.03,70.8855
5200,2874.63,69.0919
5250,2799.65,67.3459
5300,2726.1,65.628
5350,2653.96,63.9379
5400,2583.25,62.2698
5450,2513.98,60.6251
5500,2446.14,59.0106
5550,2379.73,57.4277
5600,2314.74,55.8707
5650,2251.18,54.3675
5700,2189.03,52.8957
5750,2128.28,51.4535
5800,2068.93,50.042
5850,2011,48.657
5900,1954.45,47.299
5950,1899.29,45.9686
6000,1845.48,44.6666
6050,1793.02,43.3993
6100,1741.89,42.1598
6150,1692.06,40.9487
6200,1643.54,39.7658
6250,1596.28,38.6115
6300,1550.28,37.4857
6350,1505.5,36.3892
6400,1461.93,35.3288
6450,1419.54,34.2973
6500,1378.32,33.2931
6550,1338.24,32.3149
6600,1299.27,31.3624
6650,1261.38,30.4352
6700,1224.54,29.5331
6750,1188.74,28.6556
6800,1153.95,27.8023
6850,1120.14,26.9728
