row,column,value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,0
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
1,0,0
1,1,-0.00178173
1,2,-0.00399241
1,3,-0.0056285
1,4,-0.00659166
1,5,-0.00693281
1,6,-0.00678407
1,7,-0.00626837
1,8,-0.00549115
1,9,-0.0045351
1,10,-0.00346343
1,11,-0.00232302
1,12,-0.00114758
1,13,3.96713e-05
1,14,0.0012233
1,15,0.00239381
1,16,0.00354677
1,17,0.00468161
1,18,0.00580068
1,19,0.00690826
1,20,0.00800986
1,21,0.00911168
1,22,0.01022
1,23,0.0113407
1,24,0.0124791
1,25,0.0136396
1,26,0.0148259
1,27,0.0160402
1,28,0.0172837
1,29,0.0185563
1,30,0.0198564
1,31,0.0211812
1,32,0.0225268
1,33,0.023888
1,34,0.0252584
1,35,0.0266307
1,36,0.0279964
1,37,0.0293462
1,38,0.0306698
1,39,0.0319562
1,40,0.0331935
1,41,0.0343694
1,42,0.0354707
1,43,0.0364838
1,44,0.0373947
1,45,0.0381892
1,46,0.0388528
1,47,0.0393708
1,48,0.039729
1,49,0.0399131
1,50,0.0399092
1,51,0.0397041
1,52,0.0392854
1,53,0.0386414
1,54,0.0377616
1,55,0.036637
1,56,0.0352598
1,57,0.033624
1,58,0.0317256
1,59,0.0295625
1,60,0.0271349
1,61,0.0244456
1,62,0.0214996
1,63,0.018305
1,64,0.0148721
1,65,0.0112142
1,66,0.00734643
1,67,0.0032855
1,68,-0.000952715
1,69,-0.00534538
1,70,-0.00985919
1,71,-0.0144573
1,72,-0.0191007
1,73,-0.0237486
1,74,-0.0283589
1,75,-0.0328878
1,76,-0.0372906
1,77,-0.0415218
1,78,-0.0455359
1,79,-0.0492877
1,80,-0.0527331
1,81,-0.05583
1,82,-0.0585387
1,83,-0.0608229
1,84,-0.0626507
1,85,-0.0639946
1,86,-0.0648332
1,87,-0.0651511
1,88,-0.0649398
1,89,-0.0641982
1,90,-0.0629326
1,91,-0.0611575
1,92,-0.0588951
1,93,-0.0561755
1,94,-0.0530366
1,95,-0.0495239
1,96,-0.0456903
1,97,-0.0415919
1,98,-0.0372847
1,99,-0.0328276
1,100,-0.0282805
1,101,-0.0237028
1,102,-0.0191525
1,103,-0.0146848
1,104,-0.010351
1,105,-0.00619772
1,106,-0.00226597
1,107,0.00140898
1,108,0.00480279
1,109,0.0079032
1,110,0.0107034
1,111,0.0131996
1,112,0.015391
1,113,0.0172781
1,114,0.0188617
1,115,0.0201406
1,116,0.021109
1,117,0.0217539
1,118,0.0220519
1,119,0.0219657
1,120,0.0214411
1,121,0.0204052
1,122,0.0187682
1,123,0.0164315
1,124,0.0133244
1,125,0.00945098
1,126,0.00513303
1,127,0.00110545
1,128,0
2,0,0
2,1,-0.00537709
2,2,-0.0108036
2,3,-0.0146711
2,4,-0.0168872
2,5,-0.017598
2,6,-0.0170967
2,7,-0.015664
2,8,-0.0135477
2,9,-0.0109487
2,10,-0.00802546
2,11,-0.00489839
2,12,-0.0016563
2,13,0.00163795
2,14,0.00494117
2,15,0.00822588
2,16,0.0114782
2,17,0.0146945
2,18,0.0178789
2,19,0.0210409
2,20,0.0241934
2,21,0.027351
2,22,0.0305285
2,23,0.03374
2,24,0.0369983
2,25,0.0403142
2,26,0.0436955
2,27,0.0471471
2,28,0.0506704
2,29,0.0542634
2,30,0.0579205
2,31,0.0616326
2,32,0.0653873
2,33,0.0691689
2,34,0.0729586
2,35,0.0767347
2,36,0.080473
2,37,0.0841465
2,38,0.087726
2,39,0.0911803
2,40,0.0944761
2,41,0.0975788
2,42,0.100452
2,43,0.103058
2,44,0.10536
2,45,0.107317
2,46,0.108892
2,47,0.110046
2,48,0.11074
2,49,0.110939
2,50,0.110605
2,51,0.109706
2,52,0.108211
2,53,0.10609
2,54,0.10332
2,55,0.0998784
2,56,0.0957488
2,57,0.0909189
2,58,0.0853821
2,59,0.079137
2,60,0.0721885
2,61,0.064548
2,62,0.0562334
2,63,0.0472697
2,64,0.0376888
2,65,0.0275291
2,66,0.0168346
2,67,0.00565332
2,68,-0.00596656
2,69,-0.0179572
2,70,-0.0302277
2,71,-0.0426813
2,72,-0.0552161
2,73,-0.0677256
2,74,-0.0800998
2,75,-0.0922254
2,76,-0.103987
2,77,-0.115267
2,78,-0.125949
2,79,-0.135918
2,80,-0.145062
2,81,-0.153273
2,82,-0.16045
2,83,-0.166502
2,84,-0.171348
2,85,-0.174918
2,86,-0.177157
2,87,-0.178025
2,88,-0.177501
2,89,-0.175581
2,90,-0.172278
2,91,-0.16763
2,92,-0.16169
2,93,-0.154533
2,94,-0.146253
2,95,-0.136964
2,96,-0.126797
2,97,-0.115898
2,98,-0.104416
2,99,-0.0925019
2,100,-0.0803119
2,101,-0.0680017
2,102,-0.055724
2,103,-0.0436252
2,104,-0.0318427
2,105,-0.0205021
2,106,-0.00971576
2,107,0.000419049
2,108,0.00982668
2,109,0.018463
2,110,0.0263024
2,111,0.0333267
2,112,0.0395255
2,113,0.0448928
2,114,0.0494233
2,115,0.0531072
2,116,0.055924
2,117,0.0578362
2,118,0.0587819
2,119,0.0586679
2,120,0.0573643
2,121,0.0547023
2,122,0.0504842
2,123,0.044504
2,124,0.0366303
2,125,0.0269009
2,126,0.015989
2,127,0.00530568
2,128,0
3,0,0
3,1,-0.0115866
3,2,-0.0213615
3,3,-0.0280711
3,4,-0.0317536
3,5,-0.032722
3,6,-0.0314566
3,7,-0.0284341
3,8,-0.0240846
3,9,-0.01877
3,10,-0.0127827
3,11,-0.0063509
3,12,0.000353154
3,13,0.00720364
3,14,0.0141111
3,15,0.0210181
3,16,0.0278928
3,17,0.034724
3,18,0.0415156
3,19,0.0482817
3,20,0.0550433
3,21,0.0618249
3,22,0.0686519
3,23,0.075549
3,24,0.082538
3,25,0.0896364
3,26,0.0968561
3,27,0.104203
3,28,0.111676
3,29,0.119266
3,30,0.12696
3,31,0.134733
3,32,0.142558
3,33,0.150398
3,34,0.158212
3,35,0.165952
