timestep,l2_norm,infinity_norm
0,0,0
1,824935,315700
2,663894,159515
3,695560,222174
4,759371,296738
5,822352,353443
6,878521,396784
7,927461,429988
8,969822,455336
9,1.00616e+06,474471
10,1.0368e+06,488598
11,1.06217e+06,498628
12,1.08322e+06,505258
13,1.10134e+06,509038
14,1.11788e+06,510402
15,1.1338e+06,510481
16,1.14947e+06,516555
17,1.16484e+06,522033
18,1.17968e+06,527046
19,1.19377e+06,531715
20,1.20697e+06,536165
21,1.21918e+06,540520
22,1.2303e+06,544894
23,1.24022e+06,549392
24,1.24886e+06,554094
25,1.25625e+06,559055
26,1.26258e+06,564303
27,1.26815e+06,569845
28,1.27337e+06,575666
29,1.27858e+06,581740
30,1.28403e+06,588038
31,1.28983e+06,594530
32,1.29593e+06,601195
33,1.30218e+06,608019
34,1.30839e+06,615000
35,1.3144e+06,622148
36,1.32009e+06,629483
37,1.32544e+06,637033
38,1.33053e+06,644831
39,1.33549e+06,652910
40,1.34054e+06,661306
41,1.34587e+06,670052
42,1.3517e+06,679175
43,1.3582e+06,688701
44,1.36547e+06,698647
45,1.3736e+06,709027
46,1.38258e+06,719850
47,1.39241e+06,731118
48,1.40306e+06,742828
49,1.41449e+06,754972
50,1.42668e+06,767535
51,1.43963e+06,780495
52,1.45337e+06,793822
53,1.46794e+06,807479
54,1.48342e+06,821415
55,1.49988e+06,835570
56,1.5174e+06,849871
57,1.53603e+06,864233
58,1.55581e+06,878553
59,1.57671e+06,892713
60,1.59872e+06,906578
61,1.62177e+06,919994
62,1.64578e+06,932785
63,1.67067e+06,944759
64,1.69636e+06,955698
65,1.72277e+06,965367
66,1.74983e+06,973507
67,1.77751e+06,979846
68,1.80577e+06,984091
69,1.83459e+06,985942
70,1.86397e+06,985094
71,1.89393e+06,981245
72,1.9245e+06,974110
73,1.95574e+06,963430
74,1.98776e+06,948992
75,2.02071e+06,930641
76,2.05483e+06,908304
77,2.09043e+06,882010
78,2.12789e+06,864544
79,2.16773e+06,895100
80,2.21054e+06,927643
81,2.25705e+06,962531
82,2.30807e+06,1.0002e+06
83,2.3645e+06,1.04119e+06
84,2.42735e+06,1.08613e+06
85,2.49772e+06,1.13579e+06
86,2.57682e+06,1.19108e+06
87,2.66599e+06,1.25304e+06
88,2.76672e+06,1.3229e+06
89,2.88073e+06,1.40211e+06
90,3.00998e+06,1.49231e+06
91,3.15676e+06,1.59541e+06
92,3.32376e+06,1.71364e+06
93,3.51411e+06,1.84959e+06
94,3.73152e+06,2.00629e+06
95,3.98037e+06,2.18732e+06
96,4.26581e+06,2.39693e+06
97,4.594e+06,2.64024e+06
98,4.97232e+06,2.92342e+06
99,5.40972e+06,3.254e+06
100,5.91716e+06,3.64124e+06
101,6.50821e+06,4.09658e+06
102,7.19988e+06,4.63425e+06
103,8.01357e+06,5.27201e+06
104,8.97649e+06,6.03206e+06
105,1.01233e+07,6.94208e+06
106,1.14982e+07,8.03642e+06
107,1.31572e+07,9.35698e+06
108,1.51711e+07,1.09535e+07
109,1.76266e+07,1.28815e+07
110,2.06274e+07,1.51958e+07
111,2.42879e+07,1.79331e+07
112,2.87191e+07,2.10733e+07
113,3.39986e+07,2.44606e+07
114,4.01333e+07,2.76574e+07
115,4.70884e+07,2.97127e+07
116,5.49718e+07,3.17201e+07
117,6.52607e+07,4.37606e+07
118,8.12051e+07,6.02136e+07
119,1.07888e+08,8.46901e+07
120,1.50972e+08,1.22655e+08
121,2.13426e+08,1.75301e+08
122,3.0127e+08,2.4473e+08
123,4.20105e+08,3.34009e+08
124,5.67985e+08,4.37224e+08
125,7.34551e+08,5.34657e+08
126,9.0215e+08,5.89498e+08
127,1.05791e+09,5.68506e+08
128,1.22363e+09,7.61368e+08
129,1.4805e+09,1.0056e+09
130,1.92158e+09,1.35347e+09
131,2.60589e+09,1.93091e+09
132,3.5494e+09,2.9245e+09
133,4.99144e+09,4.497e+09
134,7.2203e+09,6.73499e+09
135,1.04361e+10,9.74939e+09
136,1.47456e+10,1.35975e+10
137,2.00768e+10,1.81057e+10
138,2.59791e+10,2.26415e+10
139,3.14665e+10,2.58875e+10
140,3.51421e+10,2.5786e+10
141,3.60938e+10,1.99207e+10
142,3.62161e+10,2.00101e+10
143,4.16917e+10,2.36791e+10
144,5.48994e+10,3.56567e+10
145,6.77099e+10,5.08326e+10
146,6.84952e+10,4.77506e+10
147,7.2476e+10,5.41784e+10
148,1.05152e+11,9.54573e+10
149,2.04818e+11,1.92084e+11
150,4.32739e+11,4.13374e+11
151,9.46738e+11,9.11022e+11
152,2.10073e+12,2.02761e+12
153,4.67401e+12,4.5173e+12
154,1.03575e+13,1.00154e+13
155,2.27631e+13,2.20133e+13
156,4.94726e+13,4.78355e+13
157,1.06092e+14,1.0255e+14
158,2.24053e+14,2.16479e+14
159,4.65111e+14,4.49135e+14
160,9.47252e+14,9.14061e+14
161,1.88874e+15,1.82091e+15
162,3.67848e+15,3.54225e+15
163,6.97911e+15,6.71056e+15
164,1.28598e+16,1.23405e+16
165,2.29296e+16,2.19457e+16
166,3.93917e+16,3.75654e+16
167,6.48581e+16,6.15369e+16
168,1.01674e+17,9.57523e+16
169,1.50482e+17,1.40106e+17
170,2.07965e+17,1.90013e+17
171,2.64437e+17,2.33484e+17
172,3.03582e+17,2.49421e+17
173,3.09879e+17,2.10237e+17
174,2.95674e+17,1.66848e+17
175,3.40007e+17,1.88124e+17
176,4.85356e+17,3.36658e+17
177,6.51713e+17,5.28397e+17
178,6.64799e+17,5.2836e+17
179,6.51922e+17,4.61848e+17
180,8.39969e+17,7.73218e+17
181,1.36866e+18,1.28713e+18
182,2.19845e+18,2.03129e+18
183,3.32514e+18,3.01801e+18
184,4.6958e+18,4.15706e+18
185,6.12163e+18,5.18941e+18
186,7.26227e+18,5.6426e+18
187,7.77675e+18,4.88421e+18
188,7.84331e+18,4.06799e+18
189,8.83226e+18,4.9094e+18
