timestep,l2_norm,infinity_norm
0,0,0
50,46934.7,4540.53
100,43325,3089.21
150,43312.1,2562.94
200,44530.2,2323.58
250,46509.7,2367.15
300,48811.1,2490.47
350,51224.1,2651.29
400,54959.3,2796.71
450,61748.1,2901.39
500,70373,3154.29
550,76876.8,3867.25
600,75682.5,4126.69
650,64530.2,3657.54
700,49510.4,2845.69
750,39187.3,2195.78
800,35276,1746.45
850,33715.7,1449.47
900,32073,1254.56
950,30173.2,1202.59
1000,28322.8,1189.49
1050,26663.4,1139.01
1100,25188,1073.98
1150,23845.4,1000.15
1200,22599.7,922.06
1250,21440.2,848.316
1300,20370.1,777.297
1350,19390.7,710.838
1400,18498.5,652.68
1450,17688.3,599.417
1500,16956.5,551.817
1550,16296.3,509.347
1600,15701.1,471.741
1650,15162.4,438.661
1700,14673.4,409.572
1750,14226.9,383.643
1800,13817.6,360.591
1850,13439.9,340.178
1900,13088.8,322.229
1950,12760.5,306.146
2000,12450.8,291.206
2050,12156.8,278.005
2100,11875.9,270.565
2150,11606,263.802
2200,11345.6,257.206
2250,11093.6,250.934
2300,10848.9,244.868
2350,10610.9,238.934
2400,10379,233.229
2450,10152.8,227.72
2500,9931.77,222.329
2550,9715.51,217.052
2600,9503.74,211.88
2650,9296.22,206.799
2700,9092.7,201.793
2750,8892.93,197
2800,8696.73,192.331
2850,8503.95,187.691
2900,8314.46,183.061
2950,8128.19,178.703
3000,7945.08,174.376
3050,7765.09,170.055
3100,7588.19,165.939
3150,7414.4,161.823
3200,7243.73,157.772
3250,7076.23,153.919
3300,6911.91,149.994
3350,6750.85,146.305
3400,6593.04,142.612
3450,6438.52,139.082
3500,6287.31,135.552
3550,6139.42,132.208
3600,5994.88,128.836
3650,5853.67,125.69
3700,5715.79,122.526
3750,5581.21,119.524
3800,5449.9,116.569
3850,5321.82,113.693
3900,5196.92,110.938
3950,5075.12,108.23
4000,4956.35,105.633
4050,4840.5,103.112
4100,4727.53,100.612
4150,4617.34,98.257
4200,4509.84,95.9549
4250,4404.9,93.6668
4300,4302.44,91.5097
4350,4202.36,89.3973
4400,4104.57,87.3086
4450,4008.97,85.3064
4500,3915.46,83.3534
4550,3823.96,81.4422
4600,3734.37,79.5537
4650,3646.61,77.7642
4700,3560.64,75.9879
4750,3476.35,74.234
4800,3393.68,72.5217
4850,3312.57,70.8767
4900,3232.96,69.2538
4950,3154.8,67.647
5000,3078.04,66.0567
5050,3002.64,64.5334
5100,2928.57,63.0295
5150,2855.81,61.5414
5200,2784.32,60.0731
5250,2714.09,58.6273
5300,2645.1,57.2263
5350,2577.35,55.8507
5400,2510.83,54.494
5450,2445.55,53.1541
5500,2381.51,51.8319
5550,2318.69,50.528
5600,2257.11,49.2704
5650,2196.76,48.0326
5700,2137.65,46.813
5750,2079.78,45.6123
5800,2023.17,44.4311
5850,1967.8,43.27
5900,1913.67,42.1295
5950,1860.78,41.0277
6000,1809.13,39.9484
6050,1758.7,38.8893
6100,1709.5,37.8507
6150,1661.5,36.833
6200,1614.71,35.8365
6250,1569.11,34.8624
6300,1524.69,33.9096
6350,1481.43,32.9777
6400,1439.31,32.067
6450,1398.32,31.1842
6500,1358.44,30.325
6550,1319.63,29.4858
6600,1281.87,28.6662
6650,1245.15,27.866
6700,1209.44,27.0851
6750,1174.71,26.3231
6800,1140.94,25.5799
6850,1108.11,24.8551
6900,1076.2,24.1484
6950,1045.17,23.4596
7000,1015,22.7883
7050,985.665,22.1345
7100,957.146,21.4975
7150,929.42,20.877
7200,902.463,20.2727
7250,876.253,19.6841
7300,850.772,19.111
7350,825.999,18.553
7400,801.917,18.0098
7450,778.504,17.4812
7500,755.741,16.9673
7550,733.61,16.468
7600,712.098,15.9821
7650,691.187,15.5092
7700,670.863,15.0492
7750,651.112,14.6018
7800,631.92,14.1667
7850,613.275,13.7437
7900,595.164,13.3326
7950,577.574,12.9331
8000,560.495,12.5451
8050,543.913,12.1681
8100,527.818,11.8021
8150,512.198,11.4468
8200,497.041,11.1019
8250,482.338,10.7672
8300,468.076,10.4425
8350,454.246,10.1275
8400,440.836,9.8221
8450,427.836,9.52614
8500,415.234,9.23923
8550,403.021,8.96114
8600,391.185,8.69162
8650,379.715,8.43046
8700,368.601,8.17741
8750,357.832,7.93224
8800,347.399,7.69471
8850,337.291,7.4646
8900,327.498,7.24167
8950,318.009,7.02571
9000,308.816,6.81647
9050,299.907,6.61374
9100,291.274,6.4173
9150,282.908,6.22696
9200,274.8,6.04249
9250,266.94,5.86371
9300,259.321,5.69041
9350,251.935,5.52241
9400,244.772,5.3597
9450,237.827,5.20213
9500,231.09,5.04933
9550,224.556,4.90132
9600,218.217,4.75775
9650,212.068,4.61848
9700,206.101,4.48337
9750,200.311,4.35228
9800,194.693,4.22508
9850,189.24,4.10166
9900,183.948,3.9819
9950,178.813,3.86568
10000,173.828,3.75291
10050,168.99,3.64347
10100,164.295,3.53729
10150,159.737,3.43426
10200,155.314,3.33431
10250,151.022,3.23734
10300,146.856,3.14327
10350,142.814,3.05203
10400,138.891,2.96362
10450,135.085,2.87788
10500,131.391,2.79473
10550,127.808,2.71409
10600,124.331,2.63591
10650,120.957,2.5601
10700,117.685,2.48661
10750,114.51,2.41536
10800,111.429,2.34629
10850,108.44,2.27934
10900,105.54,2.21445
10950,102.727,2.15154
11000,99.9967,2.09055
11050,97.3475,2.03144
11100,94.7768,1.97414
11150,92.2819,1.91859
11200,89.8605,1.86473
11250,87.51,1.8125
11300,85.2283,1.76186
11350,83.0131,1.71275
11400,80.8621,1.66512
11450,78.7734,1.61892
11500,76.7447,1.57413
11550,74.7743,1.53069
11600,72.8601,1.48854
11650,71.0003,1.44775
11700,69.1931,1.40821
11750,67.4367,1.36981
11800,65.7297,1.33253
11850,64.0704,1.29633
11900,62.4573,1.26116
11950,60.8889,1.22701
12000,59.3637,1.19386
12050,57.8804,1.16166
12100,56.4377,1.13036
12150,55.0343,1.09994
12200,53.6692,1.07038
12250,52.3412,1.04165
12300,51.0493,1.01372
12350,49.7924,0.986582
12400,48.5695,0.960203
12450,47.3796,0.934566
12500,46.2219,0.909649
12550,45.0953,0.885434
12600,43.999,0.861902
12650,42.9322,0.839034
12700,41.894,0.816812
12750,40.8837,0.79522
12800,39.9004,0.774245
12850,38.9434,0.753883
12900,38.0119,0.734099
12950,37.1053,0.714878
13000,36.2228,0.696203
13050,35.3637,0.678059
13100,34.5274,0.660432
13150,33.7132,0.643345
13200,32.9204,0.626791
13250,32.1485,0.610709
13300,31.3968,0.595095
13350,30.6647,0.579921
13400,29.9517,0.565173
13450,29.2572,0.550838
13500,28.5806,0.536904
13550,27.9214,0.523356
13600,27.2792,0.510184
13650,26.6533,0.497376
13700,26.0433,0.484919
13750,25.4488,0.472802
13800,24.8693,0.461015
13850,24.3043,0.449548
13900,23.7535,0.438389
13950,23.2164,0.427529
14000,22.6926,0.41696
14050,22.1817,0.406671
14100,21.6834,0.396655
14150,21.1973,0.386902
14200,20.7232,0.377405
14250,20.2605,0.368166
14300,19.8091,0.35917
14350,19.3686,0.350441
14400,18.9388,0.341955
14450,18.5193,0.333686
14500,18.1099,0.325635
14550,17.7103,0.317794
14600,17.3202,0.310154
14650,16.9395,0.302708
14700,16.5678,0.295452
14750,16.2049,0.288382
14800,15.8507,0.281492
14850,15.5048,0.274778
14900,15.1671,0.268235
14950,14.8373,0.26186
15000,14.5153,0.255647
15050,14.2009,0.249594
15100,13.8939,0.243695
15150,13.594,0.237948
15200,13.3012,0.232347
15250,13.0151,0.226891
15300,12.7357,0.221573
15350,12.4628,0.216392
15400,12.1962,0.211343
15450,11.9358,0.206423
15500,11.6814,0.201643
15550,11.4328,0.197002
15600,11.1899,0.192479
15650,10.9525,0.188069
15700,10.7206,0.183769
15750,10.4939,0.179577
15800,10.2724,0.175489
15850,10.0559,0.171502
15900,9.84427,0.167616
15950,9.63739,0.163827
16000,9.43515,0.160156
16050,9.23743,0.15672
16100,9.04412,0.153361
16150,8.8551,0.150078
16200,8.67028,0.146868
16250,8.48954,0.143732
16300,8.31279,0.140666
16350,8.13993,0.137669
16400,7.97086,0.134741
16450,7.8055,0.131879
16500,7.64375,0.129081
16550,7.48553,0.126348
16600,7.33076,0.123676
16650,7.17935,0.121064
16700,7.03123,0.118512
16750,6.88631,0.116017
16800,6.74453,0.113578
16850,6.60581,0.111195
16900,6.47008,0.108864
16950,6.33727,0.106586
17000,6.20732,0.104359
17050,6.08016,0.102309
17100,5.95573,0.100388
17150,5.83395,0.0985017
17200,5.71479,0.0966502
17250,5.59817,0.0948326
17300,5.48404,0.0930483
17350,5.37234,0.0912967
17400,5.26301,0.0895771
17450,5.15601,0.087889
17500,5.05128,0.0862317
17550,4.94878,0.0846048
17600,4.84844,0.0830076
17650,4.75022,0.0814397
17700,4.65407,0.0799006
17750,4.55995,0.0783898
17800,4.46781,0.0769067
17850,4.37761,0.075451
17900,4.2893,0.0740222
17950,4.20284,0.0726199
18000,4.11819,0.0712435
18050,4.03531,0.0698928
18100,3.95415,0.0685673
18150,3.87469,0.0672665
18200,3.79688,0.0659902
18250,3.72068,0.0647377
18300,3.64606,0.0635089
18350,3.57299,0.0623031
18400,3.50143,0.0611201
18450,3.43135,0.0599595
18500,3.36271,0.0588208
18550,3.29549,0.0577037
18600,3.22965,0.0566078
18650,3.16516,0.0555326
18700,3.102,0.0544779
18750,3.04013,0.0534431
18800,2.97953,0.052428
18850,2.92016,0.0514321
18900,2.86202,0.0504551
18950,2.80505,0.0494967
19000,2.74926,0.0485563
19050,2.69459,0.0476338
19100,2.64105,0.0467287
19150,2.58859,0.0458408
19200,2.5372,0.0449696
19250,2.48685,0.0441148
19300,2.43753,0.0432761
19350,2.3892,0.0424533
19400,2.34186,0.0416459
19450,2.29548,0.0408537
19500,2.25003,0.0400764
19550,2.20551,0.0393137
19600,2.16189,0.0385653
19650,2.11915,0.037831
19700,2.07727,0.0371105
19750,2.03623,0.0364035
19800,1.99603,0.0357098
19850,1.95663,0.0350292
19900,1.91803,0.0343613
19950,1.88021,0.033706
20000,1.84314,0.0330631
20050,1.80683,0.0324323
20100,1.77124,0.0318133
20150,1.73636,0.0312061
20200,1.70219,0.0306103
20250,1.6687,0.0300258
20300,1.63588,0.0294524
20350,1.60372,0.0288898
20400,1.5722,0.0283379
20450,1.54131,0.0277965
20500,1.51103,0.0272654
20550,1.48136,0.0267443
20600,1.45229,0.0262332
20650,1.42379,0.0257319
20700,1.39586,0.02524
20750,1.36849,0.0247576
20800,1.34166,0.0242844
20850,1.31536,0.0238202
20900,1.28959,0.0233648
20950,1.26433,0.0229182
21000,1.23957,0.02248
21050,1.2153,0.0220503
21100,1.19151,0.0216287
21150,1.1682,0.0212155
21200,1.14534,0.0208102
21250,1.12294,0.0204126
21300,1.10098,0.0200225
21350,1.07946,0.0196399
21400,1.05836,0.0192646
21450,1.03768,0.0188964
21500,1.01741,0.0185352
21550,0.997539,0.0181809
21600,0.978061,0.0178334
21650,0.958967,0.0174924
21700,0.94025,0.0171579
21750,0.921902,0.0168298
21800,0.903917,0.0165079
21850,0.886286,0.0161921
21900,0.869002,0.0158824
21950,0.852059,0.0155785
22000,0.83545,0.0152804
22050,0.819168,0.0149879
22100,0.803207,0.0147011
22150,0.787559,0.0144196
22200,0.77222,0.0141436
22250,0.757182,0.0138727
22300,0.742439,0.0136071
22350,0.727987,0.0133465
22400,0.713818,0.0130909
22450,0.699928,0.0128401
22500,0.68631,0.0125941
22550,0.672959,0.0123528
22600,0.659871,0.0121162
22650,0.647039,0.011884
22700,0.634459,0.0116563
22750,0.622125,0.0114329
22800,0.610033,0.0112138
22850,0.598177,0.0109988
22900,0.586554,0.010788
22950,0.575159,0.0105812
23000,0.563986,0.0103784
23050,0.553032,0.0101795
23100,0.542292,0.00998434
23150,0.531762,0.00979293
23200,0.521438,0.00960519
23250,0.511316,0.00942105
23300,0.501391,0.00924042
23350,0.491661,0.00906326
23400,0.48212,0.00888949
23450,0.472766,0.00871904
23500,0.463594,0.00855185
23550,0.454601,0.00838787
23600,0.445784,0.00822702
23650,0.437139,0.00806925
23700,0.428662,0.00791449
23750,0.420351,0.0077627
23800,0.412202,0.00761381
23850,0.404211,0.00746778
23900,0.396377,0.00732453
23950,0.388695,0.00718402
24000,0.381162,0.0070462
24050,0.373777,0.00691102
24100,0.366535,0.00677842
24150,0.359435,0.00664836
24200,0.352472,0.00652079
24250,0.345646,0.00639565
24300,0.338952,0.00627291
24350,0.332388,0.00615252
24400,0.325952,0.00603443
24450,0.319641,0.0059186
24500,0.313453,0.00580499
24550,0.307386,0.00569356
24600,0.301436,0.00558426
